"RecID","year","fn_code","fn_number","cabin_class","DEPARTURE_AIRPORT","ARRIVAL_AIRPORT","Anzahl.Flugsegmente","currencies","EMISSIONS_KGCO2EQ","dep_lat","dep_lon","dep_country","arr_lat","arr_lon","arr_country","distance_km","kgCO2km"
173,2020,"LH",2367,"business","ZRH","MUC",1,"USD",200,47.458056,8.548056,"CH",48.13779831,11.69029999,"DE",246.8343977,0.810259842
174,2020,"LH",2370,"business","MUC","ZRH",1,"USD",200,48.353802,11.7861,"DE",47.458056,8.548056,"CH",261.371494,0.765194386
174,2020,"LH",2370,"business","MUC","ZRH",1,"USD",200,48.13779831,11.69029999,"DE",47.458056,8.548056,"CH",246.8343977,0.810259842
175,2020,"LH",9488,"business","MUC","PSA",1,"USD",300,48.353802,11.7861,"DE",43.683899,10.3927,"IT",530.8672908,0.565112986
175,2020,"LH",9488,"business","MUC","PSA",1,"USD",300,48.13779831,11.69029999,"DE",43.683899,10.3927,"IT",505.8683685,0.59303965
176,2020,"LH",9489,"business","PSA","MUC",1,"USD",300,43.683899,10.3927,"IT",48.353802,11.7861,"DE",530.8672908,0.565112986
176,2020,"LH",9489,"business","PSA","MUC",1,"USD",300,43.683899,10.3927,"IT",48.13779831,11.69029999,"DE",505.8683685,0.59303965
177,2020,"LX",38,"business","ZRH","SFO",1,"USD",3500,47.458056,8.548056,"CH",37.61899948,-122.375,"US",9386.756338,0.372865756
178,2020,"LX",39,"business","SFO","ZRH",1,"USD",3500,37.61899948,-122.375,"US",47.458056,8.548056,"CH",9386.756338,0.372865756
179,2020,"LX",161,"business","NRT","ZRH",1,"USD",3600,35.764702,140.386002,"JP",47.458056,8.548056,"CH",9605.99669,0.374765901
180,2020,"LX",918,"business","ZRH","DRS",1,"USD",300,47.458056,8.548056,"CH",51.13280106,13.76720047,"DE",557.3130674,0.538297086
181,2020,"LX",919,"business","DRS","ZRH",1,"USD",300,51.13280106,13.76720047,"DE",47.458056,8.548056,"CH",557.3130674,0.538297086
182,2020,"NH",4782,"business","AKJ","HND",1,"USD",300,43.670799,142.447006,"JP",35.552299,139.779999,"JP",932.0945149,0.321855772
183,2020,"NH",6752,"business","ZRH","NRT",1,"USD",3600,47.458056,8.548056,"CH",35.764702,140.386002,"JP",9605.99669,0.374765901
184,2020,"VY",3286,"business","ACE","ZRH",2,"USD",1100,28.945499,-13.6052,"ES",47.458056,8.548056,"CH",2809.005135,0.391597718
